iter,fasan PCC,fasan MAE,shoulian PCC,shoulian MAE
10,0.6698387558308552,1.1512085193058672,0.5879746317832815,1.7712670360274694
20,0.6789498649924901,1.0715469528142583,0.6321109650714162,1.3649163029020985
30,0.6891940139806013,1.0323729560429311,0.639849091601884,1.2652204743113797
40,0.6923371587483103,1.0229993464053246,0.671379954443537,1.1573900727579935
50,0.698337634346397,1.00775950263407,0.6411796077356755,1.2650989986745618
60,0.7074943264079653,0.9964077351207843,0.6487151840570401,1.2903572640650702
70,0.7169257768921075,0.9868426678925674,0.6578713386526882,1.249612478124415
80,0.7226585136737466,0.9811655224760863,0.664013223946357,1.2381974277925694
90,0.7335259047665595,0.9692511053314334,0.6663793600647693,1.2396588971385252
100,0.7389846817519663,0.962962061901624,0.6620201188051782,1.243869035475543
110,0.7432648730315445,0.9606240276522078,0.6701996777980473,1.2230211636351442
120,0.7456619947588404,0.9608697967779455,0.6706384836020401,1.228444182960931
130,0.7498510934256587,0.9576500538154373,0.6736385242832162,1.2116067857065438
140,0.7519900687711856,0.9565185195416437,0.678018712811462,1.2057819639848026
150,0.7534435295665682,0.9582746202590582,0.6763243438105869,1.2057522738311943
160,0.7539737737262722,0.9642793109196869,0.68299719171543,1.1936109261660865
170,0.7550339809519476,0.9670055586129573,0.6842911773618098,1.1931547050172937
180,0.7581511321102185,0.9633675651358788,0.6879327816288053,1.1845492392768333
190,0.76246921663082,0.9626246821764541,0.6913708792911615,1.1819590774654714
200,0.7635831681543056,0.9632511113082377,0.6929324416202937,1.1763331924777753
210,0.7660960592758748,0.9637887498879463,0.6973478558551243,1.1695701608731799
220,0.7685863202554779,0.9651606795220622,0.6991174835163267,1.168222056105028
230,0.7704825815801577,0.9666169416330159,0.7021429839583911,1.1603011067237035
240,0.7718864479711912,0.9665921378240815,0.7052778238253476,1.1574416163685437
250,0.7732745685163576,0.9694483582762032,0.7078241203188413,1.1513563571620287
260,0.7742398502606206,0.9742196348710437,0.7102889032860812,1.1450972982704863
270,0.7750801474415497,0.978086342661219,0.7131592816295953,1.1431449260946784
280,0.7750975963762953,0.9850642228661722,0.7146846897046257,1.1359629818671941
290,0.7754595794846166,0.9884357559381364,0.7168134213757026,1.1326860769601268
300,0.7757405159555857,0.9914763122052038,0.718146391357256,1.131853864113516
